,LAeq,6.3 Hz,8 Hz,10 Hz,12.5 Hz,16 Hz,20 Hz,25 Hz,31.5 Hz,40 Hz,50 Hz,63 Hz,80 Hz,100 Hz,125 Hz,160 Hz,200 Hz,250 Hz,315 Hz,400 Hz,500 Hz,630 Hz,800 Hz,1 kHz,1.25 kHz,1.6 kHz,2 kHz,2.5 kHz,3.15 kHz,4 kHz,5 kHz,6.3 kHz,8 kHz,10 kHz,12.5 kHz,16 kHz,20 kHz
2023-03-25 06:15:00,43.552776,32.98105,34.833557,36.64189,38.653957,39.700207,44.15983,38.00401,38.587658,39.248714,34.490242,34.646442,31.84113,32.093525,34.350227,34.65212,31.234287,30.68066,32.29769,30.339844,31.823664,31.518837,31.5604,32.170017,31.030294,29.104393,27.066563,25.84408,27.155382,34.291023,32.406345,23.607378,16.820284,10.471775,8.599545,8.190903,9.029184
2023-03-25 06:30:00,46.215034,34.684772,35.872692,36.835278,38.296616,39.265903,43.647953,37.488785,38.09691,39.59552,35.04446,35.320225,33.074825,33.697014,35.19363,35.320694,31.563211,31.53915,33.375347,33.93566,37.558266,33.883453,32.066387,32.514828,31.179392,29.305035,28.111702,30.384531,34.32797,36.0079,33.00908,27.643585,20.019327,10.398934,8.255465,8.912994,9.236354
2023-03-25 06:45:00,44.993923,35.347794,36.36955,38.164463,39.899464,40.900574,44.145905,39.015488,41.363525,40.71545,37.02269,38.430557,35.183975,34.330765,36.346928,36.77413,32.915363,33.175312,34.20769,34.487083,36.073853,34.118073,33.88401,34.467762,32.749584,30.921146,29.396164,29.97151,32.23224,33.372032,30.698732,23.080368,15.119328,7.279223,7.004653,8.304041,9.015946
2023-03-25 07:00:00,47.552116,35.705383,38.699253,40.17618,42.337692,43.54269,46.323055,43.680294,44.863262,43.35866,39.238262,40.19031,37.90099,38.299046,41.061874,40.72205,37.40276,38.50889,39.184288,38.70804,39.043003,37.683266,37.39856,37.474236,35.68665,33.907394,32.137707,31.820902,32.751354,32.683853,28.592413,21.98115,14.310983,8.685473,7.5411806,8.338559,9.0331335
2023-03-25 07:15:00,45.331978,38.797012,40.03507,40.58745,42.25776,43.346478,45.588436,41.50993,42.288437,43.133404,39.525764,38.860226,36.447777,35.62816,37.871944,37.588333,33.738853,33.892864,35.089203,34.49887,36.108456,35.35429,35.21323,35.923904,34.126354,32.04797,29.96592,29.42349,31.864513,33.1521,29.745182,22.768959,16.373299,9.960043,8.324019,8.874023,9.307942
2023-03-25 07:30:00,44.920208,34.961197,36.531113,37.73868,39.32408,40.784393,43.95132,41.676456,43.367325,41.547066,37.879063,39.138645,36.277187,35.676285,38.098507,38.473976,34.27094,34.09165,34.94151,35.473473,36.356754,34.935173,34.821373,35.13592,33.31653,31.292309,29.616198,29.779688,31.057117,31.1196,28.87086,23.382387,16.07033,9.054909,7.858494,8.649245,9.237822
2023-03-25 07:45:00,49.230034,40.06962,41.646023,43.21422,43.69809,45.34644,46.48625,44.13014,46.55118,45.524757,42.096058,41.897655,40.66771,40.710434,42.663506,42.670242,38.032536,38.927586,39.273663,39.796997,40.21941,38.47205,37.65052,37.922935,36.323437,34.112606,32.240227,32.354828,34.063316,37.076813,33.00744,26.607595,18.684088,10.431588,9.051081,8.776389,9.264548
2023-03-25 08:00:00,45.926285,35.87368,37.574894,39.243282,41.73172,42.93882,45.5458,41.878716,43.0992,43.519653,40.471703,41.138283,37.481373,36.53969,39.080658,38.866806,34.924965,35.701443,36.582706,35.92097,36.55052,36.02052,36.229637,36.89132,35.155033,33.066597,30.68066,29.21908,30.829983,31.842031,29.854029,23.774237,15.816593,8.166927,7.41217,8.491927,9.216676
2023-03-25 08:15:00,48.35073,36.236874,38.447136,40.899773,43.82045,44.812187,47.44118,43.964825,44.769897,45.740276,42.92323,42.076805,39.059097,38.94087,41.555103,41.574966,37.508003,38.656578,39.64368,40.352222,40.41752,38.910973,38.387848,38.518314,36.70007,34.43488,32.273403,31.238281,32.116596,31.893377,28.864897,22.294657,15.029006,9.457535,8.389245,8.687917,9.223742
2023-03-25 08:30:00,45.986805,38.76625,40.00533,40.9116,42.165173,43.486946,45.128265,42.10104,44.041595,45.0017,40.55913,39.924133,37.593384,36.008038,39.08851,39.351284,35.914062,35.81224,36.85474,36.084183,36.58804,35.985035,36.397377,37.268593,35.67644,33.1171,30.577917,29.286892,30.108456,31.28894,29.910625,22.654436,13.29801,7.512641,7.2251606,8.492821,9.278837
